Season,Week,Celebrity,Rule_Mode,Judge_Total_Score_Raw,Actual_Result,Judge_Percent,Judge_Rank_Points,Est_Fan%_Mean_Bayesian,Est_Fan%_Std_Bayesian,Acceptance_Rate%_Bayesian,Est_Fan%_Mean_Uniform,Est_Fan%_Std_Uniform,Acceptance_Rate%_Uniform
1,4,Rachel Hunter,Rank (Strict Elimination),25.0,Eliminated,,3.0,19.13,2.88,0.11,6.21,4.82,8.29
1,5,Joey McIntyre,Rank (Strict Elimination),22.5,Safe,,1.0,24.45,6.02,100.0,33.26,23.57,100.0
1,5,John O'Hurley,Rank (Strict Elimination),27.0,Safe,,3.0,23.33,5.92,100.0,33.38,23.58,100.0
1,5,Kelly Monaco,Rank (Strict Elimination),23.5,Safe,,2.0,52.22,7.0,100.0,33.36,23.6,100.0
1,6,John O'Hurley,Rank (Strict Elimination),27.0,Safe,,1.0,35.01,6.68,100.0,49.99,28.91,100.0
1,6,Kelly Monaco,Rank (Strict Elimination),27.5,Safe,,2.0,64.99,6.68,100.0,50.01,28.91,100.0
2,1,Drew Lachey,Rank (Strict Elimination),24.0,Safe,,10.0,8.63,3.91,36.57,10.1,9.06,22.94
2,1,George Hamilton,Rank (Strict Elimination),18.0,Safe,,3.0,10.19,3.84,36.57,12.14,8.96,22.94
2,1,Giselle Fernandez,Rank (Strict Elimination),23.0,Safe,,8.5,7.78,3.75,36.57,10.07,9.03,22.94
2,1,Jerry Rice,Rank (Strict Elimination),21.0,Safe,,6.0,9.57,4.1,36.57,10.28,9.1,22.94
2,1,Kenny Mayne,Rank (Strict Elimination),13.0,Eliminated,,2.0,4.48,1.76,36.57,2.33,1.98,22.94
2,1,Lisa Rinna,Rank (Strict Elimination),19.0,Safe,,4.0,12.27,4.5,36.57,11.01,9.04,22.94
2,1,Master P,Rank (Strict Elimination),12.0,Safe,,1.0,10.44,3.52,36.57,13.61,8.99,22.94
2,1,Stacy Keibler,Rank (Strict Elimination),22.0,Safe,,7.0,21.83,5.77,36.57,10.08,9.09,22.94
2,1,Tatum O'Neal,Rank (Strict Elimination),23.0,Safe,,8.5,6.99,3.57,36.57,10.07,9.05,22.94
2,1,Tia Carrere,Rank (Strict Elimination),20.0,Safe,,5.0,7.81,3.67,36.57,10.32,8.97,22.94
2,2,Drew Lachey,Rank (Strict Elimination),27.0,Safe,,8.0,9.54,4.13,52.54,11.41,10.05,32.89
2,2,George Hamilton,Rank (Strict Elimination),22.0,Safe,,4.5,10.49,4.22,52.54,11.93,9.97,32.89
2,2,Giselle Fernandez,Rank (Strict Elimination),24.0,Safe,,7.0,8.66,3.96,52.54,11.47,10.06,32.89
2,2,Jerry Rice,Rank (Strict Elimination),23.0,Safe,,6.0,10.48,4.29,52.54,11.36,9.94,32.89
2,2,Lisa Rinna,Rank (Strict Elimination),20.0,Safe,,3.0,13.24,4.58,52.54,12.85,10.0,32.89
2,2,Master P,Rank (Strict Elimination),16.0,Safe,,1.0,10.79,3.8,52.54,14.31,9.96,32.89
2,2,Stacy Keibler,Rank (Strict Elimination),29.0,Safe,,9.0,22.71,5.86,52.54,11.5,10.1,32.89
2,2,Tatum O'Neal,Rank (Strict Elimination),17.0,Eliminated,,2.0,5.36,2.04,52.54,3.15,2.59,32.89
2,2,Tia Carrere,Rank (Strict Elimination),22.0,Safe,,4.5,8.72,3.9,52.54,12.02,10.0,32.89
2,3,Drew Lachey,Rank (Strict Elimination),27.0,Safe,,7.5,9.98,4.04,15.57,11.91,10.76,12.61
2,3,George Hamilton,Rank (Strict Elimination),22.0,Safe,,3.5,11.36,3.98,15.57,13.68,10.66,12.61
2,3,Giselle Fernandez,Rank (Strict Elimination),22.0,Eliminated,,3.5,5.78,1.93,15.57,2.56,2.19,12.61
2,3,Jerry Rice,Rank (Strict Elimination),19.0,Safe,,2.0,12.87,3.85,15.57,16.51,10.73,12.61
2,3,Lisa Rinna,Rank (Strict Elimination),25.0,Safe,,5.0,13.52,4.83,15.57,12.22,10.58,12.61
2,3,Master P,Rank (Strict Elimination),14.0,Safe,,1.0,13.81,3.53,15.57,19.31,10.65,12.61
2,3,Stacy Keibler,Rank (Strict Elimination),27.0,Safe,,7.5,23.58,5.98,15.57,11.87,10.72,12.61
2,3,Tia Carrere,Rank (Strict Elimination),26.0,Safe,,6.0,9.11,3.79,15.57,11.94,10.82,12.61
2,4,Drew Lachey,Rank (Strict Elimination),28.0,Safe,,7.0,11.85,4.59,44.78,14.77,12.57,38.03
2,4,George Hamilton,Rank (Strict Elimination),21.0,Safe,,2.0,14.44,4.16,44.78,19.19,12.33,38.03
2,4,Jerry Rice,Rank (Strict Elimination),24.0,Safe,,3.0,13.43,4.54,44.78,16.55,12.48,38.03
2,4,Lisa Rinna,Rank (Strict Elimination),26.0,Safe,,5.5,15.54,5.04,44.78,14.67,12.53,38.03
2,4,Master P,Rank (Strict Elimination),8.0,Eliminated,,1.0,8.45,2.55,44.78,4.93,4.1,38.03
2,4,Stacy Keibler,Rank (Strict Elimination),26.0,Safe,,5.5,25.38,6.07,44.78,14.67,12.5,38.03
2,4,Tia Carrere,Rank (Strict Elimination),25.0,Safe,,4.0,10.91,4.37,44.78,15.22,12.5,38.03
2,5,Drew Lachey,Rank (Strict Elimination),27.0,Safe,,5.0,13.58,4.91,74.07,17.35,14.45,56.58
2,5,George Hamilton,Rank (Strict Elimination),24.0,Safe,,3.0,14.7,4.95,74.07,18.57,14.47,56.58
2,5,Jerry Rice,Rank (Strict Elimination),23.0,Safe,,2.0,15.53,4.82,74.07,20.95,14.55,56.58
2,5,Lisa Rinna,Rank (Strict Elimination),25.0,Safe,,4.0,17.57,5.35,74.07,17.54,14.46,56.58
2,5,Stacy Keibler,Rank (Strict Elimination),30.0,Safe,,6.0,28.02,6.25,74.07,17.36,14.55,56.58
2,5,Tia Carrere,Rank (Strict Elimination),22.0,Eliminated,,1.0,10.59,3.33,74.07,8.22,6.67,56.58
2,6,Drew Lachey,Rank (Strict Elimination),30.0,Safe,,4.5,15.9,5.2,48.15,20.57,16.61,43.19
2,6,George Hamilton,Rank (Strict Elimination),23.0,Eliminated,,1.5,13.29,3.41,48.15,8.33,6.85,43.19
2,6,Jerry Rice,Rank (Strict Elimination),23.0,Safe,,1.5,19.88,4.58,48.15,28.36,16.09,43.19
2,6,Lisa Rinna,Rank (Strict Elimination),27.0,Safe,,3.0,20.17,5.44,48.15,22.22,16.27,43.19
2,6,Stacy Keibler,Rank (Strict Elimination),30.0,Safe,,4.5,30.76,6.43,48.15,20.51,16.57,43.19
2,7,Drew Lachey,Rank (Strict Elimination),27.5,Safe,,3.5,19.61,5.59,35.46,27.93,19.69,41.7
2,7,Jerry Rice,Rank (Strict Elimination),20.5,Safe,,1.0,25.31,4.63,35.46,34.56,18.03,41.7
2,7,Lisa Rinna,Rank (Strict Elimination),26.5,Eliminated,,2.0,18.85,3.69,35.46,9.64,6.98,41.7
2,7,Stacy Keibler,Rank (Strict Elimination),27.5,Safe,,3.5,36.23,6.45,35.46,27.87,19.66,41.7
2,8,Drew Lachey,Rank (Strict Elimination),28.9998,Safe,,3.0,25.94,6.14,100.0,33.36,23.56,100.0
2,8,Jerry Rice,Rank (Strict Elimination),26.666600000000003,Safe,,1.0,27.37,6.25,100.0,33.28,23.54,100.0
2,8,Stacy Keibler,Rank (Strict Elimination),28.6665,Safe,,2.0,46.69,7.0,100.0,33.35,23.56,100.0
3,1,Emmitt Smith,Percentage (Judge% + Fan%),24.0,Safe,11.32,,7.41,3.67,50.77,9.58,8.69,32.48
3,1,Harry Hamlin,Percentage (Judge% + Fan%),17.0,Safe,8.02,,7.16,3.41,50.77,10.0,8.62,32.48
3,1,Jerry Springer,Percentage (Judge% + Fan%),16.0,Safe,7.55,,8.62,3.73,50.77,10.16,8.62,32.48
3,1,Joey Lawrence,Percentage (Judge% + Fan%),21.0,Safe,9.91,,9.3,4.05,50.77,9.62,8.66,32.48
3,1,Mario Lopez,Percentage (Judge% + Fan%),26.0,Safe,12.26,,11.49,4.49,50.77,9.54,8.7,32.48
3,1,Monique Coleman,Percentage (Judge% + Fan%),19.0,Safe,8.96,,7.14,3.5,50.77,9.74,8.67,32.48
3,1,Sara Evans,Percentage (Judge% + Fan%),15.0,Safe,7.08,,19.52,5.57,50.77,10.36,8.61,32.48
3,1,Shanna Moakler,Percentage (Judge% + Fan%),18.0,Safe,8.49,,8.99,3.92,50.77,9.76,8.62,32.48
3,1,Tucker Carlson,Percentage (Judge% + Fan%),12.0,Eliminated,5.66,,4.23,1.63,50.77,2.02,1.44,32.48
3,1,Vivica A. Fox,Percentage (Judge% + Fan%),22.0,Safe,10.38,,6.55,3.44,50.77,9.58,8.68,32.48
3,1,Willa Ford,Percentage (Judge% + Fan%),22.0,Safe,10.38,,9.6,4.14,50.77,9.64,8.71,32.48
3,2,Emmitt Smith,Percentage (Judge% + Fan%),24.0,Safe,10.43,,8.55,3.54,8.86,10.51,8.96,11.17
3,2,Harry Hamlin,Percentage (Judge% + Fan%),21.0,Safe,9.13,,8.69,3.28,8.86,11.53,8.89,11.17
3,2,Jerry Springer,Percentage (Judge% + Fan%),19.0,Safe,8.26,,10.15,3.55,8.86,12.51,9.01,11.17
3,2,Joey Lawrence,Percentage (Judge% + Fan%),29.0,Safe,12.61,,9.86,4.12,8.86,9.98,8.89,11.17
3,2,Mario Lopez,Percentage (Judge% + Fan%),21.0,Safe,9.13,,12.37,4.4,8.86,11.48,8.9,11.17
3,2,Monique Coleman,Percentage (Judge% + Fan%),26.0,Safe,11.3,,7.88,3.54,8.86,10.2,8.98,11.17
3,2,Sara Evans,Percentage (Judge% + Fan%),21.0,Safe,9.13,,20.11,5.54,8.86,11.54,8.88,11.17
3,2,Shanna Moakler,Percentage (Judge% + Fan%),22.0,Eliminated,9.57,,3.98,1.25,8.86,1.19,1.0,11.17
3,2,Vivica A. Fox,Percentage (Judge% + Fan%),24.0,Safe,10.43,,7.88,3.36,8.86,10.43,8.85,11.17
3,2,Willa Ford,Percentage (Judge% + Fan%),23.0,Safe,10.0,,10.53,4.08,8.86,10.63,8.82,11.17
3,3,Emmitt Smith,Percentage (Judge% + Fan%),19.0,Safe,9.18,,10.39,3.55,23.68,14.01,9.84,12.63
3,3,Harry Hamlin,Percentage (Judge% + Fan%),22.0,Eliminated,10.63,,4.18,1.47,23.68,1.44,1.21,12.63
3,3,Jerry Springer,Percentage (Judge% + Fan%),21.0,Safe,10.14,,10.53,3.86,23.68,12.99,9.82,12.63
3,3,Joey Lawrence,Percentage (Judge% + Fan%),22.0,Safe,10.63,,11.27,4.13,23.68,12.54,9.8,12.63
3,3,Mario Lopez,Percentage (Judge% + Fan%),22.0,Safe,10.63,,13.45,4.62,23.68,12.43,9.75,12.63
3,3,Monique Coleman,Percentage (Judge% + Fan%),27.0,Safe,13.04,,8.51,3.75,23.68,11.24,9.79,12.63
3,3,Sara Evans,Percentage (Judge% + Fan%),25.0,Safe,12.08,,22.0,5.78,23.68,11.59,9.88,12.63
3,3,Vivica A. Fox,Percentage (Judge% + Fan%),27.0,Safe,13.04,,8.09,3.65,23.68,11.31,9.84,12.63
3,3,Willa Ford,Percentage (Judge% + Fan%),22.0,Safe,10.63,,11.58,4.24,23.68,12.45,9.78,12.63
3,4,Emmitt Smith,Percentage (Judge% + Fan%),24.0,Safe,12.12,,10.81,3.85,28.1,14.2,10.82,13.27
3,4,Jerry Springer,Percentage (Judge% + Fan%),22.0,Safe,11.11,,11.89,3.94,28.1,15.11,10.82,13.27
3,4,Joey Lawrence,Percentage (Judge% + Fan%),27.0,Safe,13.64,,12.11,4.41,28.1,12.93,10.72,13.27
3,4,Mario Lopez,Percentage (Judge% + Fan%),29.0,Safe,14.65,,14.3,4.87,28.1,12.77,10.81,13.27
3,4,Monique Coleman,Percentage (Judge% + Fan%),24.0,Safe,12.12,,10.44,3.73,28.1,14.16,10.78,13.27
3,4,Sara Evans,Percentage (Judge% + Fan%),20.0,Safe,10.1,,23.1,5.89,28.1,16.13,10.78,13.27
3,4,Vivica A. Fox,Percentage (Judge% + Fan%),24.0,Eliminated,12.12,,5.02,1.72,28.1,1.76,1.45,13.27
3,4,Willa Ford,Percentage (Judge% + Fan%),28.0,Safe,14.14,,12.33,4.5,28.1,12.93,10.93,13.27
3,5,Emmitt Smith,Percentage (Judge% + Fan%),27.0,Safe,14.92,,12.5,3.87,8.66,15.61,11.61,10.9
3,5,Jerry Springer,Percentage (Judge% + Fan%),24.0,Safe,13.26,,13.91,3.85,8.66,17.39,11.69,10.9
3,5,Joey Lawrence,Percentage (Judge% + Fan%),25.0,Safe,13.81,,14.37,4.2,8.66,16.62,11.56,10.9
3,5,Mario Lopez,Percentage (Judge% + Fan%),27.0,Safe,14.92,,15.9,4.76,8.66,15.49,11.61,10.9
3,5,Monique Coleman,Percentage (Judge% + Fan%),27.0,Safe,14.92,,12.22,3.78,8.66,15.51,11.62,10.9
3,5,Sara Evans,Percentage (Judge% + Fan%),24.0,Safe,13.26,,24.28,5.92,8.66,17.42,11.74,10.9
3,5,Willa Ford,Percentage (Judge% + Fan%),27.0,Eliminated,14.92,,6.83,1.74,8.66,1.95,1.7,10.9
3,6,Emmitt Smith,Percentage (Judge% + Fan%),25.0,Safe,21.19,,16.59,5.2,100.0,20.0,16.32,100.0
3,6,Jerry Springer,Percentage (Judge% + Fan%),18.0,Safe,15.25,,18.81,5.48,100.0,19.96,16.31,100.0
3,6,Joey Lawrence,Percentage (Judge% + Fan%),24.0,Safe,20.34,,21.64,5.77,100.0,20.01,16.36,100.0
3,6,Mario Lopez,Percentage (Judge% + Fan%),28.0,Safe,23.73,,27.6,6.26,100.0,19.99,16.35,100.0
3,6,Monique Coleman,Percentage (Judge% + Fan%),23.0,Safe,19.49,,15.35,5.06,100.0,20.03,16.36,100.0
3,7,Emmitt Smith,Percentage (Judge% + Fan%),28.5,Safe,21.11,,18.11,4.73,35.07,23.5,17.01,31.33
3,7,Jerry Springer,Percentage (Judge% + Fan%),23.0,Eliminated,17.04,,13.83,2.94,35.07,4.98,3.75,31.33
3,7,Joey Lawrence,Percentage (Judge% + Fan%),28.5,Safe,21.11,,22.33,5.55,35.07,23.55,17.06,31.33
3,7,Mario Lopez,Percentage (Judge% + Fan%),28.0,Safe,20.74,,28.03,6.23,35.07,23.78,17.03,31.33
3,7,Monique Coleman,Percentage (Judge% + Fan%),27.0,Safe,20.0,,17.7,4.45,35.07,24.19,17.06,31.33
3,8,Emmitt Smith,Percentage (Judge% + Fan%),27.0,Safe,24.77,,23.09,4.87,52.83,31.56,18.77,26.94
3,8,Joey Lawrence,Percentage (Judge% + Fan%),27.0,Safe,24.77,,27.52,5.69,52.83,31.56,18.71,26.94
3,8,Mario Lopez,Percentage (Judge% + Fan%),28.5,Safe,26.15,,33.88,6.49,52.83,30.41,18.8,26.94
3,8,Monique Coleman,Percentage (Judge% + Fan%),26.5,Eliminated,24.31,,15.52,3.46,52.83,6.47,4.98,26.94
3,9,Emmitt Smith,Percentage (Judge% + Fan%),29.5,Safe,33.33,,26.6,6.19,100.0,33.31,23.54,100.0
3,9,Joey Lawrence,Percentage (Judge% + Fan%),29.5,Safe,33.33,,32.93,6.57,100.0,33.35,23.57,100.0
3,9,Mario Lopez,Percentage (Judge% + Fan%),29.5,Safe,33.33,,40.47,6.87,100.0,33.34,23.58,100.0
3,10,Emmitt Smith,Percentage (Judge% + Fan%),29.666600000000003,Safe,50.0,,39.82,6.85,100.0,50.0,28.85,100.0
3,10,Mario Lopez,Percentage (Judge% + Fan%),29.666600000000003,Safe,50.0,,60.18,6.85,100.0,50.0,28.85,100.0
4,1,Apolo Anton Ohno,Percentage (Judge% + Fan%),21.0,Safe,10.19,,8.52,3.9,100.0,9.09,8.29,100.0
4,1,Billy Ray Cyrus,Percentage (Judge% + Fan%),13.0,Safe,6.31,,10.16,4.24,100.0,9.1,8.32,100.0
4,1,Clyde Drexler,Percentage (Judge% + Fan%),16.0,Safe,7.77,,7.21,3.63,100.0,9.06,8.28,100.0
4,1,Heather Mills,Percentage (Judge% + Fan%),18.0,Safe,8.74,,15.54,5.08,100.0,9.11,8.32,100.0
4,1,Ian Ziering,Percentage (Judge% + Fan%),21.0,Safe,10.19,,8.26,3.85,100.0,9.09,8.3,100.0
4,1,Joey Fatone,Percentage (Judge% + Fan%),24.0,Safe,11.65,,8.78,3.97,100.0,9.12,8.31,100.0
4,1,John Ratzenberger,Percentage (Judge% + Fan%),17.0,Safe,8.25,,7.09,3.59,100.0,9.11,8.32,100.0
4,1,Laila Ali,Percentage (Judge% + Fan%),23.0,Safe,11.17,,9.97,4.19,100.0,9.09,8.29,100.0
4,1,Leeza Gibbons,Percentage (Judge% + Fan%),15.0,Safe,7.28,,7.93,3.78,100.0,9.08,8.28,100.0
4,1,Paulina Porizkova,Percentage (Judge% + Fan%),19.0,Safe,9.22,,8.53,3.91,100.0,9.07,8.29,100.0
4,1,Shandi Finnessey,Percentage (Judge% + Fan%),19.0,Safe,9.22,,8.0,3.81,100.0,9.09,8.29,100.0
4,2,Apolo Anton Ohno,Percentage (Judge% + Fan%),26.0,Safe,10.61,,8.61,3.84,8.9,9.17,8.24,11.24
4,2,Billy Ray Cyrus,Percentage (Judge% + Fan%),21.0,Safe,8.57,,10.44,4.01,8.9,10.12,8.2,11.24
4,2,Clyde Drexler,Percentage (Judge% + Fan%),18.0,Safe,7.35,,8.81,3.24,8.9,11.36,8.23,11.24
4,2,Heather Mills,Percentage (Judge% + Fan%),24.0,Safe,9.8,,15.48,5.07,8.9,9.37,8.3,11.24
4,2,Ian Ziering,Percentage (Judge% + Fan%),22.0,Safe,8.98,,8.75,3.66,8.9,9.66,8.13,11.24
4,2,Joey Fatone,Percentage (Judge% + Fan%),24.0,Safe,9.8,,8.98,3.86,8.9,9.36,8.3,11.24
4,2,John Ratzenberger,Percentage (Judge% + Fan%),21.0,Safe,8.57,,8.01,3.32,8.9,10.12,8.28,11.24
4,2,Laila Ali,Percentage (Judge% + Fan%),27.0,Safe,11.02,,9.97,4.14,8.9,9.08,8.21,11.24
4,2,Leeza Gibbons,Percentage (Judge% + Fan%),21.0,Safe,8.57,,8.64,3.54,8.9,10.2,8.3,11.24
4,2,Paulina Porizkova,Percentage (Judge% + Fan%),21.0,Eliminated,8.57,,3.45,1.17,8.9,1.04,0.87,11.24
4,2,Shandi Finnessey,Percentage (Judge% + Fan%),20.0,Safe,8.16,,8.86,3.52,8.9,10.53,8.22,11.24
4,3,Apolo Anton Ohno,Percentage (Judge% + Fan%),23.0,Safe,10.55,,9.61,3.88,10.93,10.5,9.04,11.27
4,3,Billy Ray Cyrus,Percentage (Judge% + Fan%),21.0,Safe,9.63,,11.37,4.22,10.93,11.16,8.99,11.27
4,3,Clyde Drexler,Percentage (Judge% + Fan%),16.0,Safe,7.34,,10.19,3.26,10.93,13.41,8.92,11.27
4,3,Heather Mills,Percentage (Judge% + Fan%),24.0,Safe,11.01,,16.76,5.18,10.93,10.25,9.01,11.27
4,3,Ian Ziering,Percentage (Judge% + Fan%),24.0,Safe,11.01,,9.3,3.91,10.93,10.34,9.02,11.27
4,3,Joey Fatone,Percentage (Judge% + Fan%),24.0,Safe,11.01,,9.77,4.0,10.93,10.31,8.95,11.27
4,3,John Ratzenberger,Percentage (Judge% + Fan%),20.0,Safe,9.17,,8.95,3.42,10.93,11.48,8.87,11.27
4,3,Laila Ali,Percentage (Judge% + Fan%),21.0,Safe,9.63,,11.16,4.17,10.93,11.16,8.96,11.27
4,3,Leeza Gibbons,Percentage (Judge% + Fan%),24.0,Safe,11.01,,8.97,3.82,10.93,10.21,8.93,11.27
4,3,Shandi Finnessey,Percentage (Judge% + Fan%),21.0,Eliminated,9.63,,3.91,1.3,10.93,1.18,0.97,11.27
4,4,Apolo Anton Ohno,Percentage (Judge% + Fan%),26.0,Safe,13.68,,10.31,4.21,23.21,11.52,10.14,23.52
4,4,Billy Ray Cyrus,Percentage (Judge% + Fan%),21.0,Safe,11.05,,12.32,4.51,23.21,11.9,10.16,23.52
4,4,Clyde Drexler,Percentage (Judge% + Fan%),15.0,Safe,7.89,,10.66,3.57,23.21,14.17,10.21,23.52
4,4,Heather Mills,Percentage (Judge% + Fan%),23.0,Safe,12.11,,18.29,5.41,23.21,11.69,10.14,23.52
4,4,Ian Ziering,Percentage (Judge% + Fan%),24.0,Safe,12.63,,10.1,4.15,23.21,11.6,10.14,23.52
4,4,Joey Fatone,Percentage (Judge% + Fan%),28.0,Safe,14.74,,10.57,4.3,23.21,11.4,10.12,23.52
4,4,John Ratzenberger,Percentage (Judge% + Fan%),16.0,Safe,8.42,,10.22,3.56,23.21,13.6,10.11,23.52
4,4,Laila Ali,Percentage (Judge% + Fan%),21.0,Safe,11.05,,12.08,4.46,23.21,11.94,10.09,23.52
4,4,Leeza Gibbons,Percentage (Judge% + Fan%),16.0,Eliminated,8.42,,5.45,1.8,23.21,2.19,1.66,23.52
4,5,Apolo Anton Ohno,Percentage (Judge% + Fan%),30.0,Safe,17.05,,11.5,4.48,59.43,13.28,11.57,37.25
4,5,Billy Ray Cyrus,Percentage (Judge% + Fan%),17.0,Safe,9.66,,13.96,4.6,59.43,14.77,11.53,37.25
4,5,Clyde Drexler,Percentage (Judge% + Fan%),13.0,Eliminated,7.39,,7.36,2.46,59.43,3.36,2.43,37.25
4,5,Heather Mills,Percentage (Judge% + Fan%),21.0,Safe,11.93,,20.11,5.63,59.43,13.77,11.53,37.25
4,5,Ian Ziering,Percentage (Judge% + Fan%),24.0,Safe,13.64,,11.26,4.35,59.43,13.51,11.63,37.25
4,5,Joey Fatone,Percentage (Judge% + Fan%),25.0,Safe,14.2,,11.85,4.51,59.43,13.45,11.57,37.25
4,5,John Ratzenberger,Percentage (Judge% + Fan%),18.0,Safe,10.23,,10.7,3.94,59.43,14.55,11.56,37.25
4,5,Laila Ali,Percentage (Judge% + Fan%),28.0,Safe,15.91,,13.25,4.77,59.43,13.3,11.62,37.25
4,6,Apolo Anton Ohno,Percentage (Judge% + Fan%),28.0,Safe,16.47,,13.63,4.16,0.74,14.81,12.15,16.56
4,6,Billy Ray Cyrus,Percentage (Judge% + Fan%),21.0,Safe,12.35,,16.72,3.94,0.74,17.9,12.24,16.56
4,6,Heather Mills,Percentage (Judge% + Fan%),23.0,Eliminated,13.53,,9.65,1.68,0.74,2.4,1.91,16.56
4,6,Ian Ziering,Percentage (Judge% + Fan%),24.0,Safe,14.12,,14.67,3.75,0.74,16.14,12.13,16.56
4,6,Joey Fatone,Percentage (Judge% + Fan%),27.0,Safe,15.88,,14.22,4.04,0.74,15.01,12.15,16.56
4,6,John Ratzenberger,Percentage (Judge% + Fan%),19.0,Safe,11.18,,16.02,3.42,0.74,19.03,12.22,16.56
4,6,Laila Ali,Percentage (Judge% + Fan%),28.0,Safe,16.47,,15.08,4.6,0.74,14.7,12.11,16.56
4,7,Apolo Anton Ohno,Percentage (Judge% + Fan%),27.0,Safe,17.48,,16.73,4.87,52.18,18.67,14.29,24.43
4,7,Billy Ray Cyrus,Percentage (Judge% + Fan%),19.0,Safe,12.3,,20.9,5.0,52.18,23.12,14.27,24.43
4,7,Ian Ziering,Percentage (Judge% + Fan%),27.0,Safe,17.48,,16.28,4.78,52.18,18.66,14.19,24.43
4,7,Joey Fatone,Percentage (Judge% + Fan%),29.5,Safe,19.09,,16.94,5.06,52.18,18.01,14.27,24.43
4,7,John Ratzenberger,Percentage (Judge% + Fan%),22.5,Eliminated,14.56,,9.92,2.68,52.18,3.58,2.72,24.43
4,7,Laila Ali,Percentage (Judge% + Fan%),29.5,Safe,19.09,,19.24,5.43,52.18,17.97,14.32,24.43
4,8,Apolo Anton Ohno,Percentage (Judge% + Fan%),29.0,Safe,23.11,,19.6,5.15,34.12,22.77,17.21,37.23
4,8,Billy Ray Cyrus,Percentage (Judge% + Fan%),19.0,Eliminated,15.14,,16.64,3.04,34.12,5.81,4.19,37.23
4,8,Ian Ziering,Percentage (Judge% + Fan%),23.5,Safe,18.73,,20.68,4.69,34.12,24.8,17.16,37.23
4,8,Joey Fatone,Percentage (Judge% + Fan%),27.5,Safe,21.91,,20.36,5.16,34.12,23.18,17.26,37.23
4,8,Laila Ali,Percentage (Judge% + Fan%),26.5,Safe,21.12,,22.72,5.48,34.12,23.45,17.14,37.23
4,9,Apolo Anton Ohno,Percentage (Judge% + Fan%),29.5,Safe,24.89,,26.27,5.03,37.17,31.54,18.68,26.58
4,9,Ian Ziering,Percentage (Judge% + Fan%),29.0,Eliminated,24.47,,17.77,3.18,37.17,6.39,4.95,26.58
4,9,Joey Fatone,Percentage (Judge% + Fan%),30.0,Safe,25.32,,26.66,5.19,37.17,31.09,18.76,26.58
4,9,Laila Ali,Percentage (Judge% + Fan%),30.0,Safe,25.32,,29.29,5.69,37.17,30.98,18.63,26.58
4,10,Apolo Anton Ohno,Percentage (Judge% + Fan%),29.3332,Safe,33.98,,31.23,6.51,100.0,33.36,23.57,100.0
